ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_dithiophene_OH_2.UDS
ï™êÕì˙éû:	14:50:25, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
302.00	0.210
301.50	0.211
301.00	0.212
300.50	0.212
300.00	0.213
299.50	0.214
299.00	0.214
298.50	0.215
298.00	0.216
297.50	0.217
297.00	0.217
296.50	0.218
296.00	0.219
295.50	0.219
295.00	0.220
294.50	0.220
294.00	0.221
293.50	0.221
293.00	0.222
292.50	0.222
292.00	0.223
291.50	0.223
291.00	0.223
290.50	0.224
290.00	0.224
289.50	0.224
289.00	0.224
288.50	0.224
288.00	0.224
287.50	0.224
287.00	0.224
286.50	0.224
286.00	0.224
285.50	0.224
285.00	0.224
284.50	0.224
284.00	0.223
283.50	0.223
283.00	0.223
282.50	0.223
282.00	0.222
281.50	0.222
281.00	0.222
280.50	0.222
280.00	0.221
279.50	0.221
279.00	0.221
278.50	0.221
278.00	0.220
277.50	0.220
277.00	0.220
276.50	0.220
276.00	0.220
275.50	0.220
275.00	0.220
274.50	0.220
274.00	0.220
273.50	0.220
273.00	0.221
272.50	0.221
272.00	0.221
271.50	0.221
271.00	0.221
270.50	0.222
270.00	0.222
269.50	0.223
269.00	0.223
268.50	0.224
268.00	0.224
267.50	0.225
267.00	0.225
266.50	0.226
266.00	0.227
265.50	0.227
265.00	0.228
264.50	0.229
264.00	0.230
263.50	0.231
263.00	0.231
262.50	0.232
262.00	0.233
261.50	0.233
261.00	0.234
260.50	0.235
260.00	0.236
259.50	0.237
259.00	0.238
258.50	0.238
258.00	0.239
257.50	0.240
257.00	0.241
256.50	0.242
256.00	0.243
255.50	0.244
255.00	0.245
254.50	0.246
254.00	0.247
253.50	0.248
253.00	0.249
252.50	0.250
252.00	0.252
251.50	0.254
251.00	0.255
250.50	0.257
250.00	0.258

