ª›ÃﬂŸ:	'Chlorosome@GUV
Ãß≤Ÿñº:	Ni_3C6F5_thiophene_OH_max.UDS
ï™êÕì˙éû:	18:02:11, 10/15/2021
µÕﬂ⁄∞¿:	Administrator
∫“›ƒ:	'from tepidum in GUV:Lecithin/DOPG/Chol=85/15/5 solvent:OS

√ﬁ∞¿ÿΩƒ
nm	Abs
357.50	0.151
357.00	0.151
356.50	0.151
356.00	0.150
355.50	0.150
355.00	0.150
354.50	0.150
354.00	0.151
353.50	0.151
353.00	0.151
352.50	0.151
352.00	0.152
351.50	0.152
351.00	0.152
350.50	0.153
350.00	0.153
349.50	0.154
349.00	0.155
348.50	0.155
348.00	0.156
347.50	0.157
347.00	0.157
346.50	0.158
346.00	0.159
345.50	0.160
345.00	0.161
344.50	0.161
344.00	0.162
343.50	0.163
343.00	0.164
342.50	0.164
342.00	0.165
341.50	0.165
341.00	0.166
340.50	0.166
340.00	0.166
339.50	0.166
339.00	0.166
338.50	0.166
338.00	0.166
337.50	0.166
337.00	0.166
336.50	0.166
336.00	0.166
335.50	0.165
335.00	0.165
334.50	0.165
334.00	0.165
333.50	0.165
333.00	0.164
332.50	0.164
332.00	0.163
331.50	0.163
331.00	0.162
330.50	0.161
330.00	0.161
329.50	0.160
329.00	0.159
328.50	0.158
328.00	0.158
327.50	0.158
327.00	0.157
326.50	0.157
326.00	0.157
325.50	0.157
325.00	0.156
324.50	0.156
324.00	0.156
323.50	0.156
323.00	0.155
322.50	0.155
322.00	0.156
321.50	0.157
321.00	0.157
320.50	0.157
320.00	0.158
319.50	0.159
319.00	0.158
318.50	0.158
318.00	0.159
317.50	0.160
317.00	0.161
316.50	0.162
316.00	0.162
315.50	0.162
315.00	0.163
314.50	0.164
314.00	0.164
313.50	0.163
313.00	0.164
312.50	0.166
312.00	0.166
311.50	0.167
311.00	0.167
310.50	0.167
310.00	0.168
309.50	0.168
309.00	0.169
308.50	0.169
308.00	0.170
307.50	0.171
307.00	0.171
306.50	0.172
306.00	0.172
305.50	0.173
305.00	0.173
304.50	0.174
304.00	0.175
303.50	0.176
303.00	0.177
302.50	0.178
302.00	0.178
301.50	0.179
301.00	0.180
300.50	0.181
300.00	0.182
299.50	0.183
299.00	0.184
298.50	0.184
298.00	0.185
297.50	0.186
297.00	0.187
296.50	0.187
296.00	0.188
295.50	0.188
295.00	0.189
294.50	0.189
294.00	0.190
293.50	0.190
293.00	0.191
292.50	0.191
292.00	0.192
291.50	0.192
291.00	0.193
290.50	0.193
290.00	0.193
289.50	0.193
289.00	0.193
288.50	0.193
288.00	0.193
287.50	0.193
287.00	0.193
286.50	0.193
286.00	0.193
285.50	0.193
285.00	0.193
284.50	0.193
284.00	0.193
283.50	0.193
283.00	0.192
282.50	0.192
282.00	0.191
281.50	0.191
281.00	0.191
280.50	0.190
280.00	0.190
279.50	0.189
279.00	0.188
278.50	0.188
278.00	0.188
277.50	0.187
277.00	0.187
276.50	0.187
276.00	0.187
275.50	0.186
275.00	0.186
274.50	0.186
274.00	0.186
273.50	0.186
273.00	0.185
272.50	0.185
272.00	0.185
271.50	0.185
271.00	0.184
270.50	0.184
270.00	0.184
269.50	0.184
269.00	0.184
268.50	0.184
268.00	0.184
267.50	0.184
267.00	0.184
266.50	0.184
266.00	0.184
265.50	0.184
265.00	0.184
264.50	0.185
264.00	0.185
263.50	0.185
263.00	0.186
262.50	0.186
262.00	0.187
261.50	0.188
261.00	0.188
260.50	0.189
260.00	0.190
259.50	0.192
259.00	0.193
258.50	0.194
258.00	0.196
257.50	0.197
257.00	0.199
256.50	0.200
256.00	0.202
255.50	0.203
255.00	0.204
254.50	0.206
254.00	0.207
253.50	0.208
253.00	0.210
252.50	0.211
252.00	0.212
251.50	0.214
251.00	0.215
250.50	0.216
250.00	0.216

